Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),Mass (g)
0.0,0.20947897,0.00047967,5.332e-05,-33.41384123668007,0.0262055895941066,,67.40938181
1.0,0.20948548,0.00050326,5.541e-05,-34.08412469517544,0.0262729848600705,,67.3271069
2.0,0.20946982,0.00055594,7.488e-05,-34.47802958955467,0.0264979237256846,,67.18149943
3.0,0.2094929,0.00070694,0.00011296,-37.8466624287597,0.0265550758806589,,67.1327085
4.0,0.20946799,0.00100574,0.00015557,-40.08436987998711,0.0263515148750098,,67.15012017
5.0,0.20945579,0.00140107,0.00020078,-44.03899985721796,0.0262276349284836,,67.09539778
6.0,0.20900583,0.00184846,0.00023493,-26.82984185175597,0.0255716101271047,,66.99073644
7.0,0.20844757,0.00228944,0.00025469,-5.247437249668545,0.0249628732150233,,66.91439297
8.0,0.20781306,0.00271454,0.00026468,19.566991272111835,0.0251086361106373,,66.89698131
9.0,0.20745685,0.00311677,0.00026559,32.06036654752375,0.0251416876876498,,66.4486787
10.0,0.2068686,0.00351101,0.00026775,54.75354658819808,0.0249389081575489,,66.53803308
11.0,0.20627303,0.0038977,0.00026231,78.01727167500843,0.0248805852995384,,66.1886517
12.0,0.20581636,0.00428499,0.00026141,94.60856471926196,0.0247685472327058,,66.14024344
13.0,0.20526777,0.00461175,0.00025409,115.19593624801044,0.0245281326382217,,65.93072942
14.0,0.20457997,0.00485261,0.00023573,143.4052608803034,0.0244604723186023,,65.73920107
15.0,0.20412666,0.00499933,0.00022411,161.07309304454674,0.0242789495546067,,65.66821504
16.0,0.2037733,0.00507066,0.00020752,177.48262814805074,0.0244617640437714,,65.475156
17.0,0.20351553,0.00507981,0.00018923,187.5478820933485,0.0242691022111094,,65.5009865
18.0,0.20354959,0.0050582,0.00018492,188.32668290439452,0.0245308935018789,,65.21340697
19.0,0.20357278,0.00501466,0.00018596,187.4742946794555,0.0245039929607098,,65.11486842
20.0,0.20363125,0.00497619,0.0001815,184.8833057302733,0.024447767967085,,64.83838644
21.0,0.20375429,0.00494728,0.00017865,180.379538697249,0.024531008203859,,64.71420872
22.0,0.20390122,0.00488155,0.00017875,174.81465663140102,0.0245784921943647,,64.64819745
23.0,0.20393986,0.00479187,0.00017046,172.8931047033607,0.0244161503798024,,64.50373801
24.0,0.20399091,0.00469713,0.0001525,173.48446750698233,0.0246596617865548,,64.57835945
25.0,0.20412452,0.00459114,0.00015321,168.5634910039516,0.0246690388424431,,64.34837236
26.0,0.20424278,0.0044831,0.00015205,164.49238867384395,0.0246970616914485,,64.31354903
27.0,0.20442622,0.00436808,0.00014691,159.29600023281125,0.0249867667026414,,64.38549174
28.0,0.20457916,0.00425135,0.00014456,153.0679349532147,0.0249138150056262,,64.1070964
29.0,0.20473921,0.00414869,0.00014204,144.97165035900824,0.0245941311840273,,63.87022118
30.0,0.20496139,0.00404906,0.00013614,135.76796266198753,0.0245341126470981,,63.94312058
31.0,0.20513528,0.00396584,0.0001277,130.02556156631255,0.0247398587976095,,63.71409018
32.0,0.20525069,0.00388034,0.00011733,124.99586088878551,0.0245798710177391,,63.63449398
33.0,0.20529391,0.00379373,0.00011119,125.02618256217474,0.0247909544745532,,63.52390119
34.0,0.20539691,0.00374243,0.00010637,121.3767890162658,0.0248772662716646,,63.43110274
35.0,0.20551202,0.0037012,0.0001018,117.10967804619544,0.0249756081412775,,63.3853732
36.0,0.20560211,0.00365922,0.00010057,112.6565889359899,0.0248014376797154,,63.20073299
37.0,0.20564655,0.00363542,0.00010396,109.95112268706096,0.0246048551250985,,63.32701541
38.0,0.20569587,0.00362708,0.00010243,107.66957507698156,0.024562786500204,,63.13223434
39.0,0.20573054,0.00361602,8.941e-05,106.67811446921236,0.0246205618554054,,63.11156994
40.0,0.2057398,0.00360155,8.333e-05,107.12017557850132,0.024765907246722,,62.9449154
41.0,0.20573573,0.00358242,8.346e-05,107.1378303398984,0.0246875494459539,,62.85900509
42.0,0.2057523,0.00358118,7.201e-05,107.4232667530586,0.024881905100224,,62.75109101
43.0,0.20572688,0.00357473,6.772e-05,107.31522704029264,0.0245660641229988,,62.75549177
44.0,0.20575993,0.0035636,6.881e-05,105.52309823907709,0.0244715582931072,,62.57965305
45.0,0.2057639,0.00356666,7.281e-05,106.34605614684878,0.024724447305699,,62.53086212
46.0,0.20577203,0.00357081,8.572e-05,106.61375375787354,0.0249275145397619,,62.3875507
47.0,0.20572617,0.00356884,8.729e-05,107.17050513397405,0.0245817401886624,,62.41625125
48.0,0.2057522,0.00355985,9.058e-05,106.0483324322192,0.024582700238501,,62.17172255
49.0,0.20577305,0.00356608,9.341e-05,104.97741366098204,0.024572831326103,,62.19066492
50.0,0.20573298,0.00356352,9.569e-05,108.504266858449,0.0249768214556208,,62.13555986
51.0,0.20576176,0.0035552,0.00010311,105.19651141995412,0.0245180171742502,,61.99703186
52.0,0.20576145,0.00355333,9.793e-05,105.3120429662316,0.0245193391388317,,61.84185755
53.0,0.20578393,0.0035478,9.21e-05,105.27333467098023,0.0247118167290211,,62.04831018
54.0,0.20580294,0.00354032,9.21e-05,104.76130659143536,0.0247755886752333,,61.83076
55.0,0.20577467,0.00351904,9.426e-05,105.55559663725496,0.024626700830225,,61.58508328
56.0,0.20574132,0.00349857,9.278e-05,106.13276954120136,0.0243692573911472,,61.58527462
57.0,0.2058066,0.00347545,9.273e-05,104.2858426584514,0.024562949125818,,61.48137862
58.0,0.20588978,0.00345287,8.201e-05,101.65189443863946,0.0247321607485657,,61.37729129
59.0,0.20581728,0.00343189,6.557e-05,104.90769930688444,0.024629162157449,,61.23130115
60.0,0.20589781,0.00342495,6.32e-05,100.7923932867072,0.0244777722303227,,61.26727251
61.0,0.20591754,0.00341663,6.433e-05,99.68170519369514,0.0244055736592673,,61.17447406
62.0,0.20590961,0.00340024,6.386e-05,101.54282085773184,0.0247353213995651,,60.98524175
63.0,0.20595862,0.00339508,6.102e-05,98.8857917700604,0.0245979114631289,,61.10521006
64.0,0.20598181,0.0033778,6.155e-05,98.49431901803436,0.0247211320713901,,61.05412308
65.0,0.20598669,0.0033553,6.492e-05,98.12720198232216,0.0246445249399222,,60.81361246
66.0,0.20599431,0.00333119,7.493e-05,97.85608335654376,0.0246445382180482,,60.80251491
67.0,0.20598598,0.00331394,7.536e-05,98.69709411090092,0.0247238145520196,,60.72368406
68.0,0.20603001,0.00328987,7.688e-05,97.49210540410876,0.0248686534776129,,60.44701075
69.0,0.20607698,0.003277,8.455e-05,94.26354948705966,0.0245784106787517,,60.51780544
70.0,0.20611735,0.00325446,7.589e-05,92.7316702999356,0.0245588781748275,,60.31556222
71.0,0.20614298,0.00323466,7.408e-05,91.457445593704,0.0244670258898738,,60.56181295
72.0,0.20616413,0.00320778,6.545e-05,92.4480607239898,0.0248843879250301,,60.17263347
73.0,0.20622036,0.00316598,5.572e-05,90.7324660055081,0.0249614033135632,,60.26906733
74.0,0.20622463,0.00313098,5.897e-05,88.65773843671093,0.0243680832713677,,60.21185756
75.0,0.20625656,0.00309597,7.009e-05,88.47459423641256,0.024668101469733,,60.14469827
76.0,0.20633771,0.0030615,7.741e-05,84.86305892932677,0.0246133633013115,,59.87166036
77.0,0.2063738,0.00303138,8.297e-05,83.75973367049278,0.024706115071415,,60.12020713
78.0,0.20641672,0.00300157,8.233e-05,82.13363493290768,0.0247092967048487,,59.94857784
79.0,0.20649105,0.00298985,8.961e-05,79.36378198395376,0.0248864615047945,,59.79627358
80.0,0.20650091,0.00298941,9.405e-05,78.69033340738841,0.0248348600285454,,59.61603411
81.0,0.20655785,0.00299779,0.00010301,74.9705257310881,0.024528310304416,,59.70557983
82.0,0.20650305,0.00302024,9.904e-05,77.19122490522531,0.0245054464005531,,59.53662925
83.0,0.20652064,0.00305123,0.00010131,75.96353199268647,0.0244650649213496,,59.50142324
84.0,0.20645708,0.00308022,9.922e-05,78.74208698076792,0.0245248078631813,,59.3186964
85.0,0.20636841,0.00309898,9.644e-05,82.64644746505975,0.0245515431082506,,59.39044778
86.0,0.2063371,0.00312717,9.954e-05,83.72003649314917,0.0245476516549018,,59.19183996
87.0,0.20631503,0.00317996,0.00010007,84.50161828218152,0.0246332579883278,,59.19490135
88.0,0.20622087,0.00324991,0.00010304,88.35463941108958,0.0247281872188416,,59.10229424
89.0,0.20622941,0.00329839,0.00010242,86.3706673139914,0.0244002693374856,,59.16237406
90.0,0.20613291,0.00332507,0.00010192,90.392220138578,0.0243972886554698,,59.04259709
91.0,0.20603051,0.00333543,0.00010509,94.73728292945108,0.0243869441171864,,58.82370755
92.0,0.20599553,0.00334888,0.00010438,96.31728972220074,0.0244240474789154,,59.03513495
93.0,0.20599177,0.00334888,0.00010631,96.34151742850726,0.02439547286265,,58.72287295
94.0,0.20598943,0.00333644,0.00010496,96.92262267212492,0.0244822425524466,,58.61055812
95.0,0.20600316,0.00332363,0.00010184,96.4879285353236,0.0244846213612796,,58.70699197
96.0,0.20603092,0.0033135,0.00010042,95.55160801933036,0.024531023063886,,58.60634871
97.0,0.20605461,0.00332091,0.00010315,94.53258203846976,0.0245684186105859,,58.49709527
98.0,0.20598557,0.00334195,0.00010415,97.72232363003454,0.0246504080209312,,58.28777258
99.0,0.20599991,0.00336803,0.00010661,96.88346801947024,0.0246708274016892,,58.18330258
100.0,0.2060176,0.00339386,0.00011413,95.93679725851372,0.0247219558876175,,58.18827734
101.0,0.20593422,0.00343258,0.0001222,98.26406308324027,0.0244913289999072,,58.13967774
102.0,0.2058787,0.00347534,0.00012849,100.2460096717816,0.0244928707134951,,58.01722205
103.0,0.20580925,0.00351925,0.00012754,103.14118102095024,0.0245408911025191,,58.00956857
104.0,0.20582094,0.00357212,0.00012448,101.29711252671652,0.0243282143872322,,57.92117087
105.0,0.2056915,0.00364404,0.00012708,106.30654183082493,0.0243281306543784,,57.8742933
106.0,0.2056012,0.0037258,0.00013064,109.07917630614727,0.0242375000237379,,57.79928919
107.0,0.20547867,0.0038196,0.00013893,114.06719464925818,0.0243626217949538,,57.76657057
108.0,0.20532126,0.00394765,0.00013422,118.48157506441709,0.0240715666656175,,57.62899925
109.0,0.2051851,0.00406907,0.00013521,124.26901034724098,0.0242594853791425,,57.79871518
110.0,0.20509531,0.00417371,0.00014406,126.54499771575315,0.0241479048873124,,57.47956505
111.0,0.20484934,0.0042799,0.00014566,136.36495330015904,0.0241585223471818,,57.24326384
112.0,0.20461668,0.00441109,0.0001507,145.5795719346144,0.0242105470751173,,57.29454216
113.0,0.20440914,0.00452929,0.00015331,152.57274288888732,0.0240562664798139,,57.12865297
114.0,0.20416164,0.00466526,0.00015646,159.6795144187482,0.0237032125989124,,57.22700019
115.0,0.20400311,0.00481427,0.0001635,165.64297724278617,0.0237887915520056,,56.96142442
116.0,0.20381245,0.00497327,0.00016641,170.93098557557877,0.0235888801932214,,56.93731596
117.0,0.20368677,0.00513541,0.00016245,175.400720863624,0.0236537463591887,,56.66159932
118.0,0.20345635,0.00529789,0.00015401,186.54039598712652,0.023990031629376,,56.80491075
119.0,0.20318698,0.00545896,0.00015109,192.89822270779163,0.023514956183782,,56.6501191
120.0,0.2030128,0.00563621,0.00015206,199.0508169277879,0.0235538512831999,,56.51694854
121.0,0.202687,0.00581595,0.00015556,210.63804199348556,0.0234860337896756,,56.1677585
122.0,0.20244305,0.00598635,0.00016366,216.21532884635684,0.02315030131899,,56.25940893
123.0,0.20217654,0.0061381,0.00017163,226.4850028348626,0.0232105443266953,,56.19779841
124.0,0.20203469,0.00629116,0.00016882,232.4727814794439,0.0233446695544562,,56.07955213
125.0,0.20177325,0.00643982,0.00016465,239.2345438487044,0.0230573488583192,,56.00167797
126.0,0.20156866,0.00656603,0.00015219,244.59827171952367,0.0228509412550307,,55.87960496
127.0,0.20141603,0.00668479,0.00014099,251.4259570446561,0.0229796710047407,,55.62091732
